186,Nader Bshouty, +
187,Naoki Abe, +
188,Nathalie Japkowicz, +
189,Neela Khan, +
190,Neil Berkman, +
191,Nicolas Fiechter, +
192,Nicolo Cesa-Bianchi, +
193,Nikolay Nikolaev, +
194,Nina Mishra, +
195,Nitin Indurkhya, +
196,Oded Maron, -
197,Olivier De Vel, -
198,Pang-Chieh Chen, +
199,Pascal Koiran, +
200,Pat Langley, +
201,Patricia J. Riddle, +
202,Patrick M. Murphy, +
203,Paul Fischer, +
204,Paul Utgoff, +
205,Paul Vitanyi, +
206,Paul W. Goldberg, +
207,Peter Bartlett, +
208,Phil Long, -
209,Philip Chan, -
210,Prasad Tadepalli, -
211,Priscilla Rasmussen, -
212,R. Andrew McCallum, -
213,R. Bharat Rao, -
214,Randolph Jones, +
215,Reinhard Blasig, +
216,Ricard Gavalda, +
217,Rich Maclin, +
218,Richard A. Caruana, +
219,Richard S. Sutton, +
220,Robert C. Holte, +
221,Robert P. Daley, +
222,Robert S. Roos, +
223,Robert Schapire, +
224,Robert Sloan, +
225,Robert Williamson, +
226,Roberto Piola, +
227,Ron Kohavi, +
228,Ronald L. Rivest, +
229,Roni Khardon, +
230,Ronitt Rubinfeld, +
231,Russell Greiner, +
232,Sally Goldman, +
233,Sandra Panizza, +
234,Sanjay Jain, +
235,Satinder Pal Singh, +
236,Scott E. Decatur, -
237,Sean Slattery, +
238,Sebastian Seung, +
239,Seth Flanders, +
240,Shai Ben-David, -
241,Shaul Markovitch, -
242,Sholom Weiss, -
243,Sonya Snedecor, +
244,Sreerama K. Murthy, -
245,Sridhar Mahadevan, -
246,Stan Matwin, -
247,Stefan Kramer, -
248,Steffen Lange, -
249,Stephen Kwek, -
250,Stephen Muggleton, -
251,Steve A. Chien, -
252,Steven Minton, -
253,Steven Salzberg, -
254,Steven W. Norton, -
255,Stuart Russell, -
256,Susan L. Epstein, +
257,Takefumi Yamazaki, +
258,Tal Grossman, +
259,Tapio Elomaa, +
260,Tatsuo Unemi, +
261,Thomas E. Kammeyer, -
262,Thomas Ellman, -
263,Thomas G. Dietterich, -
264,Thomas G. Spalthoff, -
265,Thomas Wengerek, -
266,Thomas Zeugmann, -
267,Timothy P. Barber, +
268,Tom Bylander, +
269,Tom Fawcett, +
270,Tom Hancock, +
271,Tom M. Mitchell, +
272,Toshiyasu Matsushima, +
273,Usama Fayyad, -
274,Vijay Raghavan, +
275,Von-Wun Soo, +
276,Wai Lam, +
277,Wan P. Chiang, +
278,Wee Sun Lee, +
279,Welton Becket, +
280,William A. Greene, +
281,William Cohen, +
282,William Gasarch, +
283,William Sakas, +
284,Wolfgang Janko, +
285,Wolfgang Maass, +
286,Wray Buntine, -
287,Xuemei Wang, +
288,Yishay Mansour, +
289,Yoav Freund, +
290,Yolanda Gil, +
291,Yoram Singer, +
292,Yoshifumi Sakai, +
293,Zhixiang Chen, -
