"Grigoris Karakoulas", 19, 0, 0, 0, 8, 10, 0.80, 1, 0, 2, -
"Hal Duncan", 10, 1, 0, 1, 3, 6, 0.50, 1, 0, 2, +
"Haralabos Athanassiou", 21, 0, 0, 1, 10, 10, 1.00, 1, 0, 2, +
"Harris Drucker", 14, 1, 0, 1, 4, 9, 0.44, 1, 0, 2, +
"Haym Hirsh", 10, 1, 0, 1, 2, 7, 0.29, 1, 0, 2, +
"Hiroshi Motoda", 14, 1, 0, 1, 6, 7, 0.86, 1, 0, 2, +
"Hiroshi Tanaka", 14, 1, 0, 1, 6, 7, 0.86, 1, 0, 2, +
"Holly Yanco", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Huw Roberts", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Irina Tchoumatchenko", 20, 1, 1, 0, 8, 11, 0.73, 1, 0, 2, -
"J. Jeffrey Mahoney", 18, 1, 0, 0, 5, 10, 0.50, 2, 1, 3, -
"J. R. Quinlan", 13, 0, 0, 0, 3, 6, 0.50, 2, 2, 3, -
"James S. Royer", 14, 1, 0, 1, 4, 7, 0.57, 2, 1, 3, +
"Janusz Wnek", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Jason Catlett", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"Javed Aslam", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Jean Gabriel Ganascia", 21, 0, 0, 1, 9, 10, 0.90, 2, 0, 3, +
"Jean-Daniel Zucker", 18, 1, 0, 1, 7, 10, 0.70, 1, 0, 2, +
"Jeff Jackson", 12, 1, 0, 1, 3, 8, 0.38, 1, 0, 2, +
"Jeffery Clouse", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Jiarong Hong", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Jing Peng", 9, 0, 0, 1, 2, 6, 0.33, 1, 0, 2, +
"Joe Suzuki", 10, 1, 0, 1, 5, 4, 1.25, 1, 0, 2, +
"Joel Ratsaby", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Johanne Morin", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"Johannes Furnkranz", 18, 1, 0, 1, 5, 12, 0.42, 1, 0, 2, +
"John Case", 9, 0, 0, 1, 3, 5, 0.60, 1, 0, 2, +
"John Fischer", 12, 1, 0, 1, 3, 8, 0.38, 1, 0, 2, +
"John M. Zelle", 13, 0, 0, 1, 3, 7, 0.43, 2, 1, 3, +
"John R. Rose", 12, 1, 0, 1, 3, 6, 0.50, 2, 1, 3, +
"John Rachlin", 12, 1, 0, 1, 3, 8, 0.38, 1, 0, 2, +
"Jonathan Gratch", 15, 0, 0, 1, 4, 10, 0.40, 1, 0, 2, +
"Jonathan Hodgson", 16, 1, 0, 1, 5, 10, 0.50, 1, 0, 2, +
"Jong-Hoon Oh", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Jorg-Uwe Kietz", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Jose L. Balcazar", 16, 1, 0, 1, 5, 8, 0.62, 2, 1, 3, +
"Joseph O'Sullivan", 17, 0, 0, 1, 6, 10, 0.60, 1, 0, 2, +
"Jude Shavlik", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Judy A. Franklin", 16, 1, 0, 1, 4, 9, 0.44, 2, 1, 3, +
"Justin Boyan", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Justinian Rosca", 15, 0, 0, 1, 6, 8, 0.75, 1, 0, 2, +
"Jyrki Kivinen", 13, 0, 0, 0, 4, 8, 0.50, 1, 0, 2, -
"Kamal M. Ali", 12, 1, 0, 1, 4, 5, 0.80, 2, 1, 3, +
"Kan Deng", 8, 1, 0, 1, 2, 5, 0.40, 1, 0, 2, +
"Karsten Verbeurgt", 17, 0, 0, 1, 5, 11, 0.45, 1, 0, 2, +
"Kate Goelz", 10, 1, 0, 1, 4, 5, 0.80, 1, 0, 2, +
"Kazushi Ikeda", 13, 0, 0, 1, 6, 6, 1.00, 1, 0, 2, +
"Ken Lang", 8, 1, 0, 1, 2, 5, 0.40, 1, 0, 2, +
"Kenji Yamanishi", 15, 0, 0, 1, 6, 8, 0.75, 1, 0, 2, +
"Kimmen Sjolander", 16, 1, 0, 1, 5, 10, 0.50, 1, 0, 2, +
"Klaus P. Jantke", 15, 0, 0, 0, 4, 8, 0.50, 2, 1, 3, -
"Krishnan Pillaipakkamnatt", 25, 0, 0, 0, 8, 16, 0.50, 1, 0, 2, -
"L. Thorne McCarty", 17, 0, 0, 0, 3, 11, 0.27, 2, 1, 3, -
"Lance Fortnow", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"Lance Riley", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Lars Asker", 10, 1, 0, 1, 3, 6, 0.50, 1, 0, 2, +
"Leonard Pitt", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Leslie Grate", 12, 1, 0, 1, 5, 6, 0.83, 1, 0, 2, +
"Leslie Pack Kaelbling", 21, 0, 0, 1, 7, 12, 0.58, 2, 0, 3, +
"Lindley Darden", 14, 1, 0, 1, 4, 9, 0.44, 1, 0, 2, +
"Lisa Hellerstein", 16, 1, 0, 1, 6, 9, 0.67, 1, 0, 2, +
"Long-Ji Lin", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Lorenza Saitta", 14, 1, 0, 1, 6, 7, 0.86, 1, 0, 2, +
"Lorien Y. Pratt", 15, 0, 0, 1, 4, 8, 0.50, 2, 1, 3, +
"Lyle H. Ungar", 13, 0, 0, 0, 3, 7, 0.43, 2, 1, 3, -
"Maja Mataric", 12, 1, 0, 1, 5, 6, 0.83, 1, 0, 2, +
"Malini Bhandaru", 15, 0, 0, 1, 6, 8, 0.75, 1, 0, 2, +
"Mandayam T. Suraj", 17, 0, 0, 1, 5, 9, 0.56, 2, 1, 3, +
"Manfred Warmuth", 15, 0, 0, 1, 4, 10, 0.40, 1, 0, 2, +
"Marcos Salganicoff", 18, 1, 0, 1, 6, 11, 0.55, 1, 0, 2, +
"Margo Guertin", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"Mario Marchand", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Mark Changizi", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"Mark Schwabacher", 16, 1, 0, 1, 4, 11, 0.36, 1, 0, 2, +
"Mark Staley", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Mark W. Craven", 14, 1, 0, 1, 3, 8, 0.38, 2, 1, 3, +
"Marko Grobelnik", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Martin Kummer", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"Martinch Krikis", 15, 0, 0, 1, 4, 10, 0.40, 1, 0, 2, +
"Mary Soon Lee", 13, 0, 0, 1, 5, 6, 0.83, 2, 0, 3, +
"Masayuki Inaba", 14, 1, 0, 1, 7, 6, 1.17, 1, 0, 2, +
"Matevz Kovacic", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Matthias Heger", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Melinda T. Gervasio", 19, 0, 0, 1, 7, 9, 0.78, 2, 1, 3, +
"Merrick L. Furst", 16, 1, 0, 1, 3, 10, 0.30, 2, 1, 3, +
"Michael A. meystel", 18, 1, 0, 1, 6, 9, 0.67, 2, 1, 3, +
"Michael I. Jordan", 17, 0, 0, 1, 6, 8, 0.75, 2, 1, 3, +
"Michael J. Donahue", 18, 1, 0, 1, 7, 8, 0.88, 2, 1, 3, +
"Michael Kearns", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Michael Littman", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Michael Redmond", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Michael W. Barley", 17, 0, 0, 1, 5, 9, 0.56, 2, 1, 3, +
"Michael de la Maza", 18, 1, 0, 1, 7, 8, 0.88, 3, 0, 4, +
"Michele Sebag", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"Minoru Asada", 12, 1, 0, 1, 6, 5, 1.20, 1, 0, 2, +
"Mona Singh", 10, 1, 0, 1, 3, 6, 0.50, 1, 0, 2, +
"Moshe Koppel", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Moshe Leshno", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Myriam Abramson", 15, 0, 0, 0, 5, 9, 0.56, 1, 0, 2, -
"Nader Bshouty", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"Naoki Abe", 9, 0, 0, 1, 5, 3, 1.67, 1, 0, 2, +
"Nathalie Japkowicz", 18, 1, 0, 1, 7, 10, 0.70, 1, 0, 2, +
"Neela Khan", 10, 1, 0, 1, 4, 5, 0.80, 1, 0, 2, +
"Neil Berkman", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Nicolas Fiechter", 16, 1, 0, 1, 6, 9, 0.67, 1, 0, 2, +
"Nicolo Cesa-Bianchi", 19, 0, 0, 1, 8, 10, 0.80, 1, 0, 2, +
"Nikolay Nikolaev", 16, 1, 0, 1, 7, 8, 0.88, 1, 0, 2, +
"Nina Mishra", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Nitin Indurkhya", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Oded Maron", 10, 1, 1, 0, 4, 5, 0.80, 1, 0, 2, -
"Olivier De Vel", 14, 1, 1, 0, 6, 6, 1.00, 2, 0, 3, -
"Pang-Chieh Chen", 15, 0, 0, 1, 4, 10, 0.40, 1, 0, 2, +
"Pascal Koiran", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"Pat Langley", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Patricia J. Riddle", 18, 1, 0, 1, 6, 9, 0.67, 2, 1, 3, +
"Patrick M. Murphy", 17, 0, 0, 1, 3, 11, 0.27, 2, 1, 3, +
"Paul Fischer", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Paul Utgoff", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Paul Vitanyi", 12, 1, 0, 1, 5, 6, 0.83, 1, 0, 2, +
"Paul W. Goldberg", 16, 1, 0, 1, 4, 9, 0.44, 2, 1, 3, +
"Peter Bartlett", 14, 1, 0, 1, 4, 9, 0.44, 1, 0, 2, +
"Phil Long", 9, 0, 0, 0, 2, 6, 0.33, 1, 0, 2, -
"Philip Chan", 11, 0, 0, 0, 3, 7, 0.43, 1, 0, 2, -
"Prasad Tadepalli", 16, 1, 0, 0, 6, 9, 0.67, 1, 0, 2, -
"Priscilla Rasmussen", 19, 0, 0, 0, 6, 12, 0.50, 1, 0, 2, -
"R. Andrew McCallum", 18, 1, 0, 0, 4, 11, 0.36, 2, 1, 3, -
"R. Bharat Rao", 13, 0, 0, 0, 4, 6, 0.67, 2, 1, 3, -
"Randolph Jones", 14, 1, 0, 1, 4, 9, 0.44, 1, 0, 2, +
"Reinhard Blasig", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Ricard Gavalda", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Rich Maclin", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Richard A. Caruana", 18, 1, 0, 1, 7, 8, 0.88, 2, 1, 3, +
"Richard S. Sutton", 17, 0, 0, 1, 4, 10, 0.40, 2, 1, 3, +
"Robert C. Holte", 15, 0, 0, 1, 4, 8, 0.50, 2, 1, 3, +
"Robert P. Daley", 15, 0, 0, 1, 4, 8, 0.50, 2, 1, 3, +
"Robert S. Roos", 14, 1, 0, 1, 4, 7, 0.57, 2, 1, 3, +
"Robert Schapire", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Robert Sloan", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Robert Williamson", 17, 0, 0, 1, 6, 10, 0.60, 1, 0, 2, +
"Roberto Piola", 13, 0, 0, 1, 6, 6, 1.00, 1, 0, 2, +
"Ron Kohavi", 10, 1, 0, 1, 4, 5, 0.80, 1, 0, 2, +
"Ronald L. Rivest", 16, 1, 0, 1, 4, 9, 0.44, 2, 1, 3, +
"Roni Khardon", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Ronitt Rubinfeld", 16, 1, 0, 1, 5, 10, 0.50, 1, 0, 2, +
"Russell Greiner", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"Sally Goldman", 13, 0, 0, 1, 3, 9, 0.33, 1, 0, 2, +
"Sandra Panizza", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Sanjay Jain", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Satinder Pal Singh", 18, 1, 0, 1, 5, 11, 0.45, 2, 0, 3, +
"Scott E. Decatur", 16, 1, 0, 0, 5, 8, 0.62, 2, 1, 3, -
"Sean Slattery", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"Sebastian Seung", 15, 0, 0, 1, 6, 8, 0.75, 1, 0, 2, +
"Seth Flanders", 13, 0, 0, 1, 3, 9, 0.33, 1, 0, 2, +
"Shai Ben-David", 14, 1, 0, 0, 5, 8, 0.62, 1, 0, 2, -
"Shaul Markovitch", 16, 1, 0, 0, 5, 10, 0.50, 1, 0, 2, -
"Sholom Weiss", 12, 1, 0, 0, 4, 7, 0.57, 1, 0, 2, -
"Sonya Snedecor", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Sreerama K. Murthy", 18, 1, 0, 0, 5, 10, 0.50, 2, 1, 3, -
"Sridhar Mahadevan", 17, 0, 0, 0, 6, 10, 0.60, 1, 0, 2, -
"Stan Matwin", 11, 0, 0, 0, 3, 7, 0.43, 1, 0, 2, -
"Stefan Kramer", 13, 0, 0, 0, 4, 8, 0.50, 1, 0, 2, -
"Steffen Lange", 13, 0, 0, 0, 4, 8, 0.50, 1, 0, 2, -
"Stephen Kwek", 12, 1, 0, 0, 3, 8, 0.38, 1, 0, 2, -
"Stephen Muggleton", 17, 0, 0, 0, 5, 11, 0.45, 1, 0, 2, -
"Steve A. Chien", 14, 1, 0, 0, 5, 6, 0.83, 2, 1, 3, -
"Steven Minton", 13, 0, 0, 0, 4, 8, 0.50, 1, 0, 2, -
"Steven Salzberg", 15, 0, 0, 0, 4, 10, 0.40, 1, 0, 2, -
"Steven W. Norton", 16, 1, 0, 0, 4, 9, 0.44, 2, 1, 3, -
"Stuart Russell", 14, 1, 0, 0, 4, 9, 0.44, 1, 0, 2, -
"Susan L. Epstein", 16, 1, 0, 1, 5, 8, 0.62, 2, 1, 3, +
"Takefumi Yamazaki", 17, 0, 0, 1, 8, 8, 1.00, 1, 0, 2, +
"Tal Grossman", 12, 1, 0, 1, 3, 8, 0.38, 1, 0, 2, +
"Tapio Elomaa", 12, 1, 0, 1, 7, 4, 1.75, 1, 0, 2, +
"Tatsuo Unemi", 12, 1, 0, 1, 6, 5, 1.20, 1, 0, 2, +
"Thomas E. Kammeyer", 18, 1, 0, 0, 6, 9, 0.67, 2, 1, 3, -
"Thomas Ellman", 13, 0, 0, 0, 4, 8, 0.50, 1, 0, 2, -
"Thomas G. Dietterich", 20, 1, 0, 0, 6, 11, 0.55, 2, 1, 3, -
"Thomas G. Spalthoff", 19, 0, 0, 0, 4, 12, 0.33, 2, 1, 3, -
"Thomas Wengerek", 15, 0, 0, 0, 5, 9, 0.56, 1, 0, 2, -
"Thomas Zeugmann", 15, 0, 0, 0, 5, 9, 0.56, 1, 0, 2, -
"Timothy P. Barber", 17, 0, 0, 1, 4, 10, 0.40, 2, 1, 3, +
"Tom Bylander", 12, 1, 0, 1, 3, 8, 0.38, 1, 0, 2, +
"Tom Fawcett", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Tom Hancock", 11, 0, 0, 1, 3, 7, 0.43, 1, 0, 2, +
"Tom M. Mitchell", 15, 0, 0, 1, 3, 9, 0.33, 2, 1, 3, +
"Toshiyasu Matsushima", 20, 1, 0, 1, 8, 11, 0.73, 1, 0, 2, +
"Usama Fayyad", 12, 1, 1, 0, 5, 6, 0.83, 1, 0, 2, -
"Vijay Raghavan", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Von-Wun Soo", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Wai Lam", 7, 0, 0, 1, 3, 3, 1.00, 1, 0, 2, +
"Wan P. Chiang", 13, 0, 0, 1, 3, 7, 0.43, 2, 1, 3, +
"Wee Sun Lee", 11, 0, 0, 1, 5, 4, 1.25, 2, 0, 3, +
"Welton Becket", 13, 0, 0, 1, 4, 8, 0.50, 1, 0, 2, +
"William A. Greene", 17, 0, 0, 1, 7, 7, 1.00, 2, 1, 3, +
"William Cohen", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"William Gasarch", 15, 0, 0, 1, 5, 9, 0.56, 1, 0, 2, +
"William Sakas", 13, 0, 0, 1, 5, 7, 0.71, 1, 0, 2, +
"Wolfgang Janko", 14, 1, 0, 1, 4, 9, 0.44, 1, 0, 2, +
"Wolfgang Maass", 14, 1, 0, 1, 4, 9, 0.44, 1, 0, 2, +
"Wray Buntine", 12, 1, 0, 0, 4, 7, 0.57, 1, 0, 2, -
"Xuemei Wang", 11, 0, 0, 1, 5, 5, 1.00, 1, 0, 2, +
"Yishay Mansour", 14, 1, 0, 1, 5, 8, 0.62, 1, 0, 2, +
"Yoav Freund", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Yolanda Gil", 11, 0, 0, 1, 4, 6, 0.67, 1, 0, 2, +
"Yoram Singer", 12, 1, 0, 1, 4, 7, 0.57, 1, 0, 2, +
"Yoshifumi Sakai", 15, 0, 0, 1, 7, 7, 1.00, 1, 0, 2, +
"Zhixiang Chen", 13, 0, 0, 0, 4, 8, 0.50, 1, 0, 2, -
